INFO 2025-11-10 16:28:49,109 autoreload 5620 5536 Watching for file changes with StatReloader
INFO 2025-11-10 17:09:11,784 basehttp 13948 5252 "GET /track-analytics/?event_type=product_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fsearch%2Fadvanced%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fproducts%2F&product_id=23 HTTP/1.1" 200 0
INFO 2025-11-10 17:09:11,836 basehttp 13948 12940 "GET /product/23/ HTTP/1.1" 200 48754
INFO 2025-11-10 17:09:12,194 basehttp 13948 12940 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2Fproduct%2F23%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fsearch%2Fadvanced%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:09:12,949 log 13948 12940 Not Found: /sw.js
WARNING 2025-11-10 17:09:12,952 basehttp 13948 12940 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:09:13,083 basehttp 13948 12940 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:09:18,272 basehttp 13948 5252 "GET /track-analytics/?event_type=add_to_cart&url=http%3A%2F%2F127.0.0.1%3A8000%2Fproduct%2F23%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fsearch%2Fadvanced%2F&product_id=23 HTTP/1.1" 200 0
INFO 2025-11-10 17:09:18,686 basehttp 13948 5252 "POST /cart/add/23/ HTTP/1.1" 302 0
INFO 2025-11-10 17:09:18,778 basehttp 13948 5252 "GET / HTTP/1.1" 200 82245
WARNING 2025-11-10 17:09:19,527 log 13948 312 Not Found: /sw.js
INFO 2025-11-10 17:09:19,529 basehttp 13948 5252 "GET /track-analytics/?event_type=page_view&url=http%3A%2F%2F127.0.0.1%3A8000%2F&referrer=http%3A%2F%2F127.0.0.1%3A8000%2Fproduct%2F23%2F HTTP/1.1" 200 0
WARNING 2025-11-10 17:09:19,532 basehttp 13948 312 "GET /sw.js HTTP/1.1" 404 40258
WARNING 2025-11-10 17:09:19,637 basehttp 13948 312 "GET /static/images/logo-192.png HTTP/1.1" 404 1871
INFO 2025-11-10 17:09:22,159 basehttp 13948 14092 "GET /cart/ HTTP/1.1" 200 41108
